"trt","plot","depth","Mg.ha.day","year","block"
"CC","12","5",0.000129751111994465,2010,"1"
"CC","12","15",0.000220999355467267,2010,"1"
"CC","12","30",0.000122585270292451,2010,"1"
"CC","12","60",0.000199915318337956,2010,"1"
"CC","12","100",0.000148463589181381,2010,"1"
"CC","21","5",0.000129528377100539,2010,"2"
"CC","21","15",0.000243546688018858,2010,"2"
"CC","21","30",0.000109762619941751,2010,"2"
"CC","21","60",0.000201015537417125,2010,"2"
"CC","21","100",0.000160601447965776,2010,"2"
"CC","35","5",0.000129420298170658,2010,"3"
"CC","35","15",0.000259478800320286,2010,"3"
"CC","35","30",0.000119594805999433,2010,"3"
"CC","35","60",0.000180598129702605,2010,"3"
"CC","35","100",0.000150284172635681,2010,"3"
"CC","43","5",0.000128031274507298,2010,"4"
"CC","43","15",0.00023139291295906,2010,"4"
"CC","43","30",0.000119227397076657,2010,"4"
"CC","43","60",0.000229818187323794,2010,"4"
"CC","43","100",0.000199211746846879,2010,"4"
"CCW","14","5",0.000128239483750825,2010,"1"
"CCW","14","15",0.000337694204168516,2010,"1"
"CCW","14","30",0.000139446143171592,2010,"1"
"CCW","14","60",0.000217425236507163,2010,"1"
"CCW","14","100",0.000175335511179684,2010,"1"
"CCW","25","5",0.000127987928968524,2010,"2"
"CCW","25","15",0.000343231137904265,2010,"2"
"CCW","25","30",0.000172034867116653,2010,"2"
"CCW","25","60",0.000266284870117059,2010,"2"
"CCW","25","100",0.000218620261712817,2010,"2"
"CCW","36","5",0.000123010737687876,2010,"3"
"CCW","36","15",0.000510015540369983,2010,"3"
"CCW","36","30",0.00018667731675352,2010,"3"
"CCW","36","60",0.000246584283795071,2010,"3"
"CCW","36","100",0.000134230701794947,2010,"3"
"CCW","42","5",0.000127933362138413,2010,"4"
"CCW","42","15",0.00033213884546492,2010,"4"
"CCW","42","30",0.000122442035343985,2010,"4"
"CCW","42","60",0.000231575228064811,2010,"4"
"CCW","42","100",0.00018749156248106,2010,"4"
"CS","16","5",0.000129749139343721,2010,"1"
"CS","16","15",0.000181800298778722,2010,"1"
"CS","16","30",7.05001917525483e-05,2010,"1"
"CS","16","60",0.000120858052625793,2010,"1"
"CS","16","100",0.00011780919037973,2010,"1"
"CS","22","5",0.000129931250315236,2010,"2"
"CS","22","15",0.000159771233485456,2010,"2"
"CS","22","30",8.22538891190023e-05,2010,"2"
"CS","22","60",0.000117462946673475,2010,"2"
"CS","22","100",0.000142334758163609,2010,"2"
"CS","34","5",0.000129669551776747,2010,"3"
"CS","34","15",0.000123185322367602,2010,"3"
"CS","34","30",6.83441217008684e-05,2010,"3"
"CS","34","60",0.000102948471892119,2010,"3"
"CS","34","100",0.000106052487953082,2010,"3"
"CS","45","5",0.000129947570495841,2010,"4"
"CS","45","15",0.000164875998909145,2010,"4"
"CS","45","30",7.18957137889384e-05,2010,"4"
"CS","45","60",0.000120934572396471,2010,"4"
"CS","45","100",9.3671522160359e-05,2010,"4"
"P","13","5",0.000208886219341403,2010,"1"
"P","13","15",0.00207443491745833,2010,"1"
"P","13","30",0.000738558816456266,2010,"1"
"P","13","60",0.00100823287725073,2010,"1"
"P","13","100",0.00038895916154571,2010,"1"
"P","24","5",0.00021921931802003,2010,"2"
"P","24","15",0.00214339680117794,2010,"2"
"P","24","30",0.00071611099160995,2010,"2"
"P","24","60",0.000813807789589456,2010,"2"
"P","24","100",0.000330313978926671,2010,"2"
"P","31","5",0.00021350129437004,2010,"3"
"P","31","15",0.00196572957734821,2010,"3"
"P","31","30",0.000638877360347428,2010,"3"
"P","31","60",0.000774993771594602,2010,"3"
"P","31","100",0.000318121269127672,2010,"3"
"P","46","5",0.000208037839635162,2010,"4"
"P","46","15",0.00171002260990426,2010,"4"
"P","46","30",0.00058993851855829,2010,"4"
"P","46","60",0.000987421841568009,2010,"4"
"P","46","100",0.000455069236597593,2010,"4"
"PF","15","5",0.000108777415212016,2010,"1"
"PF","15","15",0.00105770086417372,2010,"1"
"PF","15","30",0.000358413773790456,2010,"1"
"PF","15","60",0.000392853582995474,2010,"1"
"PF","15","100",0.000332542149306383,2010,"1"
"PF","23","5",0.000101399318170844,2010,"2"
"PF","23","15",0.00118100808452645,2010,"2"
"PF","23","30",0.000425166312399832,2010,"2"
"PF","23","60",0.000582317036598014,2010,"2"
"PF","23","100",0.000261768731928702,2010,"2"
"PF","32","5",0.000105363856929143,2010,"3"
"PF","32","15",0.00144080366407449,2010,"3"
"PF","32","30",0.000516785917332576,2010,"3"
"PF","32","60",0.000516969425307217,2010,"3"
"PF","32","100",0.000328101001213335,2010,"3"
"PF","41","5",0.000108493476124471,2010,"4"
"PF","41","15",0.00100645648271574,2010,"4"
"PF","41","30",0.00036404705707083,2010,"4"
"PF","41","60",0.000400999067922963,2010,"4"
"PF","41","100",0.000264760861248617,2010,"4"
"SC","11","5",0.0001278936296422,2010,"1"
"SC","11","15",0.000133279335675884,2010,"1"
"SC","11","30",7.18090327295498e-05,2010,"1"
"SC","11","60",0.00012102313310922,2010,"1"
"SC","11","100",0.000122912673455127,2010,"1"
"SC","26","5",0.000129884098326756,2010,"2"
"SC","26","15",0.000144270144822456,2010,"2"
"SC","26","30",7.14428731812271e-05,2010,"2"
"SC","26","60",0.000110688621093345,2010,"2"
