year	trt	core	plot	depth	BD	TN	TC	IC	OC	CN	oCN
2008	C2	1	16	60	1.746513155	0.0719	2.204	1.73	0.474	30.65368567	6.592489569
2008	C2	1	16	100	1.687000357	0.0357	2.873	2.59	0.283	80.47619048	7.927170868
2008	C2	2	16	60	1.402743682	0.1336	1.68	0.09	1.59	12.5748503	11.9011976
2008	C2	2	16	100	1.596145188	0.0645	0.7161	0.215	0.5011	11.10232558	7.768992248
2008	C2	1	22	60	1.444464208	0.1275	1.306	0	1.306	10.24313725	10.24313725
2008	C2	1	22	100	1.809163578	0.1	2.39	1.7	0.69	23.9	6.9
2008	C2	2	22	60	1.184237905	0.1155	1.35	0	1.35	11.68831169	11.68831169
2008	C2	2	22	100	1.557935307	0.078	1.191	0.5	0.691	15.26923077	8.858974359
2008	C2	1	34	60	1.488547261	0.1239	1.381	0	1.381	11.14608555	11.14608555
2008	C2	1	34	100	1.485472261	0.057	0.5689	0	0.5689	9.980701754	9.980701754
2008	C2	2	34	60	1.489307736	0.1077	1.056	0	1.056	9.805013928	9.805013928
2008	C2	2	34	100	1.719409244	0.0368	1.751	1.46	0.291	47.58152174	7.907608696
2008	C2	1	45	60	1.465343248	0.0865	0.8842	0	0.8842	10.22196532	10.22196532
2008	C2	1	45	100	1.605102822	0.0394	0.7673	0.46	0.3073	19.47461929	7.799492386
2008	C2	2	45	60	1.561798094	0.0744	0.6421	0	0.6421	8.630376344	8.630376344
2008	C2	2	45	100	1.32536015	0.0208	0.2251	0	0.2251	10.82211538	10.82211538
2008	CC	1	12	60	1.351109496	0.0842	0.7718	0	0.7718	9.166270784	9.166270784
2008	CC	1	12	100	1.591744929	0.0449	0.4161	0	0.4161	9.267260579	9.267260579
2008	CC	2	12	60	1.538096603	0.132	1.381	0	1.381	10.46212121	10.46212121
2008	CC	2	12	100	1.519925079	0.0683	0.4818	0	0.4818	7.054172767	7.054172767
2008	CC	1	21	60	1.220706234	0.1549	1.976	0	1.976	12.75661717	12.75661717
2008	CC	1	21	100	1.787421075	0.0304	0.838	0.7	0.138	27.56578947	4.539473684
2008	CC	2	21	60	1.408666514	0.0844	1.11	0.35	0.76	13.15165877	9.004739336
2008	CC	2	21	100	1.451274362	0.0612	0.5482	0.01	0.5382	8.95751634	8.794117647
2008	CC	1	35	60	1.4010606	0.148	1.862	0	1.862	12.58108108	12.58108108
2008	CC	1	35	100	1.559305414	0.0589	0.5337	0	0.5337	9.061120543	9.061120543
2008	CC	2	35	60	1.305253557	0.1651	2.2	0.01	2.19	13.32525742	13.26468807
2008	CC	2	35	100	1.435377298	0.0896	0.967	0	0.967	10.79241071	10.79241071
2008	CC	1	43	60	1.542277108	0.0784	1.084	0.48	0.604	13.82653061	7.704081633
2008	CC	1	43	100	1.696285025	0.0351	1.893	1.73	0.163	53.93162393	4.643874644
2008	CC	2	43	60	1.515255571	0.0815	0.821	0	0.821	10.07361963	10.07361963
2008	CC	2	43	100	1.549026552	0.0425	0.3374	0.02	0.3174	7.938823529	7.468235294
2008	CCW	1	14	60	1.502839155	0.0622	2.307	1.75	0.557	37.09003215	8.954983923
2008	CCW	1	14	100	1.682891958	0.0401	2.756	2.75	0.006	68.72817955	0.149625935
2008	CCW	2	14	60	1.247414543	0.1554	1.773	0.01	1.763	11.40926641	11.34491634
2008	CCW	2	14	100	1.582389507	0.1026	1.191	0	1.191	11.60818713	11.60818713
2008	CCW	1	25	60	1.205465062	0.0682	0.6483	0	0.6483	9.505865103	9.505865103
2008	CCW	1	25	100	1.534035725	0.057	0.387	0	0.387	6.789473684	6.789473684
2008	CCW	2	25	60	1.55791744	0.1055	1.024	0	1.024	9.706161137	9.706161137
2008	CCW	2	25	100	1.559969133	0.0446	0.3431	0	0.3431	7.692825112	7.692825112
2008	CCW	1	36	60	1.47721959	0.1173	1.313	0	1.313	11.19352089	11.19352089
2008	CCW	1	36	100	1.668594369	0.0486	0.3924	0	0.3924	8.074074074	8.074074074
2008	CCW	2	36	60	1.385501739	0.0862	0.7211	0	0.7211	8.365429234	8.365429234
2008	CCW	1	42	60	1.337048108	0.109	1.157	0	1.157	10.6146789	10.6146789
2008	CCW	1	42	100	1.684813566	0.0513	1.932	1.57	0.362	37.66081871	7.056530214
2008	CCW	2	42	60	1.483443609	0.0892	0.9051	0	0.9051	10.14686099	10.14686099
2008	CCW	2	42	100	1.672295221	0.0401	0.2743	0.01	0.2643	6.840399002	6.591022444
2008	P	1	13	60	1.254838524	0.1159	1.187	0	1.187	10.24158758	10.24158758
2008	P	1	13	100	1.831114036	0.0535	0.5599	0	0.5599	10.46542056	10.46542056
2008	P	2	13	60	1.36868501	0.1118	1.024	0	1.024	9.15921288	9.15921288
2008	P	2	13	100	1.810044897	0.045	0.305	0	0.305	6.777777778	6.777777778
2008	P	1	24	60	1.543330812	0.0906	0.8469	0	0.8469	9.347682119	9.347682119
2008	P	1	24	100	1.510225426	0.0331	1.134	0.97	0.164	34.25981873	4.954682779
2008	P	2	24	60	1.60199126	0.0767	0.8865	0	0.8865	11.55801825	11.55801825
2008	P	2	24	100	1.556014549	0.0759	0.4469	0	0.4469	5.88801054	5.88801054
2008	P	1	31	60	1.506085904	0.1006	1.068	0	1.068	10.61630219	10.61630219
2008	P	1	31	100	1.61187341	0.041	1.938	1.75	0.188	47.26829268	4.585365854
2008	P	2	31	60	1.340638547	0.1128	1.196	0	1.196	10.60283688	10.60283688
2008	P	2	31	100	1.478481181	0.0465	1.29	1	0.29	27.74193548	6.23655914
2008	P	1	46	60	1.426131368	0.1029	0.9592	0	0.9592	9.321671526	9.321671526
2008	P	1	46	100	1.555943858	0.0415	0.3267	0	0.3267	7.872289157	7.872289157
2008	P	2	46	60	1.543052184	0.103	0.9876	0	0.9876	9.588349515	9.588349515
2008	P	2	46	100	1.483884278	0.0371	0.3059	0	0.3059	8.245283019	8.245283019
2008	PF	1	15	60	1.518424922	0.0963	1.105	0.08	1.025	11.47455867	10.64382139
2008	PF	1	15	100	1.652187956	0.0495	1.714	1.49	0.224	34.62626263	4.525252525
2008	PF	2	15	60	1.317267544	0.1218	1.313	0	1.313	10.77996716	10.77996716
2008	PF	2	15	100	1.684771996	0.0576	0.4768	0	0.4768	8.277777778	8.277777778
2008	PF	1	23	60	1.377487771	0.1283	1.351	0	1.351	10.53000779	10.53000779
2008	PF	1	23	100	1.641925337	0.052	0.6449	0	0.6449	12.40192308	12.40192308
2008	PF	2	23	60	1.461850168	0.1408	1.589	0	1.589	11.28551136	11.28551136
2008	PF	2	23	100	1.864315272	0.0491	0.3886	0	0.3886	7.914460285	7.914460285
2008	PF	1	32	60	1.587667598	0.0599	0.8231	0.32	0.5031	13.74123539	8.398998331
2008	PF	1	32	100	1.737605169	0.0413	2.661	2.4	0.261	64.43099274	6.319612591
2008	PF	2	32	60	1.502716816	0.1196	1.358	0	1.358	11.35451505	11.35451505
2008	PF	2	32	100	1.203241861	0.0544	1.122	0	1.122	20.625	20.625
2008	PF	1	41	60	1.48035545	0.0918	1.037	0	1.037	11.2962963	11.2962963
2008	PF	1	41	100	1.607031562	0.044	1.446	1.09	0.356	32.86363636	8.090909091
2008	PF	2	41	60	1.605675881	0.0695	1.47	0.76	0.71	21.15107914	10.21582734
2008	PF	2	41	100	1.566567164	0.0288	2.05	1.67	0.38	71.18055556	13.19444444
2008	S2	1	11	60	1.232239065	0.1105	1.119	0	1.119	10.12669683	10.12669683
2008	S2	1	11	100	1.757380825	0.0421	1.147	0.97	0.177	27.24465558	4.204275534
2008	S2	2	11	60	1.477723956	0.1825	2.333	0.02	2.313	12.78356164	12.6739726
2008	S2	2	11	100	1.415372037	0.0951	1.108	0	1.108	11.6508938	11.6508938
2008	S2	1	26	60	1.418977908	0.1239	1.758	0.42	1.338	14.18886199	10.79903148
2008	S2	1	26	100	1.607220199	0.0596	1.542	1.2	0.342	25.87248322	5.738255034
2008	S2	2	26	60	1.486589939	0.0869	1.375	0.25	1.125	15.82278481	12.94591484
2008	S2	2	26	100	1.617582372	0.0406	0.6272	0.59	0.0372	15.44827586	0.916256158
2008	S2	1	33	60	1.517150914	0.1191	1.19	0	1.19	9.991603694	9.991603694
2008	S2	1	33	100	1.732601626	0.0364	2.554	2.32	0.234	70.16483516	6.428571429
2008	S2	2	33	60	1.312051068	0.0941	0.7956	0	0.7956	8.454835282	8.454835282
2008	S2	2	33	100	1.370653643	0.038	3.189	2.57	0.619	83.92105263	16.28947368
2008	S2	1	44	60	1.315278479	0.2179	2.577	0.02	2.557	11.82652593	11.73474071
