"block" "plot" "trt" "depth" "bd"
"1" "11" "S2" "5" 0.99242351275
"1" "11" "S2" "15" 1.331423071
"1" "11" "S2" "30" 1.437604092
"1" "11" "S2" "60" 1.396971945
"1" "11" "S2" "100" 1.45369626775
"1" "12" "CC" "5" 1.0862396335
"1" "12" "CC" "15" 1.3592976715
"1" "12" "CC" "30" 1.49025336225
"1" "12" "CC" "60" 1.40726485625
"1" "12" "CC" "100" 1.58768470275
"1" "13" "P" "5" 1.18493268175
"1" "13" "P" "15" 1.4439382475
"1" "13" "P" "30" 1.39615806225
"1" "13" "P" "60" 1.4341174075
"1" "13" "P" "100" 1.62788719025
"1" "14" "CCW" "5" 1.05618824775
"1" "14" "CCW" "15" 1.441627941
"1" "14" "CCW" "30" 1.47788136325
"1" "14" "CCW" "60" 1.4975700055
"1" "14" "CCW" "100" 1.5895481265
"1" "15" "PF" "5" 1.10213288625
"1" "15" "PF" "15" 1.3141122415
"1" "15" "PF" "30" 1.4454942935
"1" "15" "PF" "60" 1.35143779225
"1" "15" "PF" "100" 1.56148425075
"1" "16" "C2" "5" 0.948503107
"1" "16" "C2" "15" 1.2574184275
"1" "16" "C2" "30" 1.34508426225
"1" "16" "C2" "60" 1.432632991
"1" "16" "C2" "100" 1.533952979
"2" "21" "CC" "5" 1.242101745
"2" "21" "CC" "15" 1.4928372345
"2" "21" "CC" "30" 1.42248766225
"2" "21" "CC" "60" 1.4546971375
"2" "21" "CC" "100" 1.52752622225
"2" "22" "C2" "5" 1.3366920575
"2" "22" "C2" "15" 1.4766111045
"2" "22" "C2" "30" 1.48409649125
"2" "22" "C2" "60" 1.452988608
"2" "22" "C2" "100" 1.52851518775
"2" "23" "PF" "5" 1.2261081655
"2" "23" "PF" "15" 1.41243051675
"2" "23" "PF" "30" 1.464633942
"2" "23" "PF" "60" 1.435044968
"2" "23" "PF" "100" 1.55955155275
"2" "24" "P" "5" 1.1673806905
"2" "24" "P" "15" 1.456706447
"2" "24" "P" "30" 1.492729309
"2" "24" "P" "60" 1.5198848935
"2" "24" "P" "100" 1.53572240875
"2" "25" "CCW" "5" 1.044790598
"2" "25" "CCW" "15" 1.41445008975
"2" "25" "CCW" "30" 1.5834992175
"2" "25" "CCW" "60" 1.534693832
"2" "25" "CCW" "100" 1.5020471435
"2" "26" "S2" "5" 1.1304377195
"2" "26" "S2" "15" 1.4425188995
"2" "26" "S2" "30" 1.5205691785
"2" "26" "S2" "60" 1.44490741375
"2" "26" "S2" "100" 1.5622280555
"3" "31" "P" "5" 1.31727547125
"3" "31" "P" "15" 1.371904896
"3" "31" "P" "30" 1.28004563725
"3" "31" "P" "60" 1.3638992585
"3" "31" "P" "100" 1.48292381225
"3" "32" "PF" "5" 1.222116878
"3" "32" "PF" "15" 1.3177959335
"3" "32" "PF" "30" 1.5337024735
"3" "32" "PF" "60" 1.48350180425
"3" "32" "PF" "100" 1.58498682175
"3" "33" "S2" "5" 1.388499571
"3" "33" "S2" "15" 1.28006537925
"3" "33" "S2" "30" 1.45802786925
"3" "33" "S2" "60" 1.434506936
"3" "33" "S2" "100" 1.5063877545
"3" "34" "C2" "5" 1.42563801575
"3" "34" "C2" "15" 1.25668475375
"3" "34" "C2" "30" 1.520036369
"3" "34" "C2" "60" 1.42827040675
"3" "34" "C2" "100" 1.5405954535
"3" "35" "CC" "5" 1.32435171325
"3" "35" "CC" "15" 1.41814935
"3" "35" "CC" "30" 1.52190286875
"3" "35" "CC" "60" 1.39581461
"3" "35" "CC" "100" 1.53599368325
"3" "36" "CCW" "5" 1.307516211
"3" "36" "CCW" "15" 1.473460844
"3" "36" "CCW" "30" 1.565190393
"3" "36" "CCW" "60" 1.5383963985
"3" "36" "CCW" "100" 1.5402887485
"4" "41" "PF" "5" 1.1733276635
"4" "41" "PF" "15" 1.3583390965
"4" "41" "PF" "30" 1.550770471
"4" "41" "PF" "60" 1.47897179175
"4" "41" "PF" "100" 1.558606022
"4" "42" "CCW" "5" 1.26198297175
"4" "42" "CCW" "15" 1.38827362825
"4" "42" "CCW" "30" 1.5012792255
"4" "42" "CCW" "60" 1.50446476275
"4" "42" "CCW" "100" 1.58780770975
"4" "43" "CC" "5" 1.404120371
"4" "43" "CC" "15" 1.4335788045
"4" "43" "CC" "30" 1.50800798675
"4" "43" "CC" "60" 1.5334642175
"4" "43" "CC" "100" 1.62683345825
"4" "44" "S2" "5" 1.2976091355
"4" "44" "S2" "15" 1.435648326
"4" "44" "S2" "30" 1.5071191265
"4" "44" "S2" "60" 1.52049353625
"4" "44" "S2" "100" 1.561177988
"4" "45" "C2" "5" 1.37344246325
"4" "45" "C2" "15" 1.490257638
"4" "45" "C2" "30" 1.56558963675
"4" "45" "C2" "60" 1.51306134775
"4" "45" "C2" "100" 1.546992788
"4" "46" "P" "5" 1.3486105375
"4" "46" "P" "15" 1.46687207025
"4" "46" "P" "30" 1.57948178925
"4" "46" "P" "60" 1.4370041545
"4" "46" "P" "100" 1.53671280225
