date,block,sw1,sw2,sw3,sw4,sw5,st1,st2,st3,st4,st5,ec1,ec2,ec3,ec4,ec5
1/8/2008,1,0.268413793,0.366275862,0.325103448,0.348517241,0.298413793,25.43793103,25.05517241,23.57931034,21.94137931,21.31034483,0.416551724,0.41,0.5,0.630344828,0.737241379
1/8/2008,2,0.289758621,0.301793103,NA,0.383896552,0.359586207,25.07931034,24.21034483,NA,22.48965517,21.11034483,0.214482759,0.06,NA,0.658965517,1.06
1/8/2008,3,0.282241379,0.286724138,0.295068966,0.285103448,0.263275862,24.77241379,24.15517241,23.11724138,21.85172414,21.19310345,0.21,0.05137931,0.58,0.59,0.43
1/8/2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/8/2008,1,0.249458333,0.352270833,0.315541667,0.344,0.294895833,22.65625,23.12916667,22.5625,21.76666667,21.3375,0.408125,0.40375,0.497916667,0.63,0.727291667
2/8/2008,2,0.269291667,0.2858125,NA,0.380020833,0.357145833,21.6125,21.56666667,NA,22.13541667,21.15,0.206875,0.06,NA,0.656041667,1.06
2/8/2008,3,0.261916667,0.2739375,0.288895833,0.279416667,0.261229167,22.39583333,22.37916667,22.23541667,21.63333333,21.19791667,0.194375,0.05,0.58,0.58625,0.43
2/8/2008,4,0.204375,0.257416667,0.265145833,0.291625,0.240333333,22.50416667,22.64375,22.32291667,22.01458333,21.54166667,0.274166667,0.271458333,0.195625,0.32375,0.575
3/8/2008,1,0.2430625,0.3378125,0.305583333,0.336020833,0.289604167,24.56458333,24.05625,22.65625,21.40416667,21.07916667,0.404375,0.404791667,0.49,0.624583333,0.7125
3/8/2008,2,0.2654375,0.282020833,NA,0.3745625,0.352583333,24.08958333,23.07291667,NA,21.71666667,20.80625,0.203125,0.055,NA,0.658541667,1.06125
3/8/2008,3,0.250958333,0.263875,0.283333333,0.272916667,0.258020833,24.04583333,23.40208333,22.42291667,21.39583333,21.00416667,0.175833333,0.05,0.572916667,0.577916667,0.43
3/8/2008,4,0.2055625,0.257958333,0.266375,0.288645833,0.238916667,24.28541667,23.76041667,22.775,21.81458333,21.31041667,0.288125,0.279375,0.2,0.332291667,0.588541667
4/8/2008,1,0.237083333,0.329166667,0.299145833,0.333166667,NA,25.96875,25.6,24.06875,22.03958333,NA,0.409166667,0.405833333,0.487708333,0.617916667,NA
4/8/2008,2,0.262666667,0.2809375,NA,0.374666667,0.3515625,25.60208333,24.72916667,NA,22.66666667,21.13125,0.200625,0.05,NA,0.660833333,1.07
4/8/2008,3,0.2419375,0.255375,0.280979167,0.271104167,0.256520833,25.37291667,24.80833333,23.6875,22.0875,21.27083333,0.163958333,0.047291667,0.576041667,0.570625,0.43
4/8/2008,4,0.2026875,0.258875,0.269666667,0.289458333,0.239083333,25.69791667,25.28333333,24.23958333,22.70833333,21.75625,0.3,0.280208333,0.200416667,0.34,0.599375
5/8/2008,1,0.2241875,0.313979167,0.287020833,0.329458333,NA,24.07708333,24.53333333,23.71458333,22.34375,NA,0.400416667,0.403541667,0.477291667,0.607916667,NA
5/8/2008,2,0.256375,0.276583333,NA,0.373,0.350833333,23.82708333,23.51666667,NA,22.91041667,21.5125,0.202083333,0.050208333,NA,0.666458333,1.07125
5/8/2008,3,0.23175,0.243708333,0.275395833,0.268354167,0.255833333,23.84375,23.74583333,23.36666667,22.31875,21.59166667,0.158958333,0.040416667,0.553125,0.57,0.43
5/8/2008,4,0.1969375,0.251895833,0.265666667,0.288416667,0.239666667,23.89791667,24.05416667,23.61458333,22.89791667,22.10416667,0.3,0.28,0.201875,0.347708333,0.609791667
6/8/2008,1,0.2079375,0.29675,0.271625,0.322208333,NA,21.06041667,22.01041667,21.87083333,21.64583333,NA,0.384166667,0.393541667,0.466041667,0.596458333,NA
6/8/2008,2,0.241375,0.262604167,NA,0.365458333,0.347520833,20.59583333,20.67291667,NA,21.92916667,21.26458333,0.202083333,0.05,NA,0.662291667,1.071666667
6/8/2008,3,0.2176875,0.23,0.266395833,0.261708333,0.253729167,20.975,21.20208333,21.58125,21.55,21.40833333,0.15,0.04,0.550208333,0.567291667,0.425416667
