date,block,sw1,sw2,sw3,sw4,sw5,st1,st2,st3,st4,st5,ec1,ec2,ec3,ec4,ec5
1/8/2008,1,0.346931034,0.351482759,0.425172414,0.375482759,0.323206897,28.05862069,26.83103448,25.59310345,23.99310345,22.95862069,0.231724138,0.76,0.90137931,1.130344828,1.673448276
1/8/2008,2,0.181586207,0.262413793,0.358,0.347517241,0.304758621,31.36896552,29.56206897,26.90344828,24.4862069,23.06206897,0.066551724,0.20862069,0.274137931,0.82137931,0.47
1/8/2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/2008,4,NA,0.324965517,0.405103448,0.324793103,0.40162069,NA,26.82758621,25.57931034,23.95172414,23.07586207,NA,0.414482759,0.63,0.82,1.177241379
2/8/2008,1,0.291020833,0.3315,0.411895833,0.373083333,0.3228125,25.16666667,25.03958333,24.83541667,23.9125,23.04791667,0.202708333,0.7475,0.889166667,1.131041667,1.672083333
2/8/2008,2,0.160916667,0.248729167,0.347291667,0.346104167,0.305208333,26.71666667,26.61875,25.77083333,24.59791667,23.29375,0.059166667,0.195625,0.259791667,0.823958333,0.47
2/8/2008,3,0.129479167,0.262479167,0.3171875,0.2796875,0.3178125,24.59791667,24.42916667,24.11875,23.20833333,22.69375,0.153958333,0.357916667,0.867291667,1.145833333,0.95
2/8/2008,4,NA,0.307479167,0.39775,0.3249375,0.401520833,NA,24.70833333,24.45,23.84166667,23.1,NA,0.403333333,0.621666667,0.8275,1.179375
3/8/2008,1,0.26375,0.3214375,0.403958333,0.368604167,0.320104167,27.08333333,26.1625,25.275,23.82708333,22.92291667,0.210416667,0.735,0.877291667,1.132916667,1.666666667
3/8/2008,2,0.160541667,0.244145833,0.3414375,0.343125,0.304125,29.36875,28.39166667,26.49791667,24.62916667,23.27083333,0.055208333,0.191666667,0.244166667,0.821041667,0.47
3/8/2008,3,0.12275,0.245,0.307104167,0.27525,0.315229167,26.24166667,25.35416667,24.40416667,23,22.55416667,0.143541667,0.33375,0.861666667,1.14,0.95
3/8/2008,4,NA,0.301770833,0.3949375,0.324791667,0.399979167,NA,26.22916667,25.09166667,23.7125,22.96458333,NA,0.391041667,0.616041667,0.831666667,1.180833333
4/8/2008,1,0.249208333,0.314458333,0.400416667,0.368458333,0.319708333,27.89166667,27.2625,26.44791667,24.59166667,23.29166667,0.268541667,0.735625,0.87375,1.148333333,1.657916667
4/8/2008,2,0.1558125,0.238145833,0.338229167,0.343354167,0.304208333,29.79166667,29.28125,27.62916667,25.49166667,23.75833333,0.055833333,0.189791667,0.226458333,0.82,0.47
4/8/2008,3,0.117125,0.236020833,0.302645833,0.275291667,0.314541667,27.35625,26.65,25.66666667,23.675,22.77291667,0.134791667,0.306875,0.855833333,1.140833333,0.951458333
4/8/2008,4,NA,0.296520833,0.394416667,0.328125,0.401270833,NA,27.42291667,26.3125,24.42291667,23.38333333,NA,0.389791667,0.612916667,0.841041667,1.195
5/8/2008,1,0.235125,0.299895833,0.388979167,0.36525,0.319375,25.60833333,25.80208333,25.82083333,24.63541667,23.58541667,0.161666667,0.7225,0.864166667,1.152708333,1.655
5/8/2008,2,0.145729167,0.226729167,0.329416667,0.340604167,0.3025625,25.95833333,26.63958333,26.3125,25.41666667,24.025,0.052083333,0.181666667,0.214166667,0.82,0.465
5/8/2008,3,0.108645833,0.226354167,0.29375,0.2733125,0.314708333,25.49166667,25.425,25.12708333,23.86041667,23.08125,0.13,0.289791667,0.840416667,1.140625,0.96
5/8/2008,4,NA,0.2839375,0.38475,0.328604167,0.402375,NA,25.50208333,25.3,24.51875,23.62916667,NA,0.379583333,0.602083333,0.85,1.197916667
6/8/2008,1,0.222083333,0.283416667,0.370854167,0.356041667,0.316125,22.66875,23.13125,23.74166667,23.5,23.17291667,0.141041667,0.711666667,0.851458333,1.155,1.64875
6/8/2008,2,0.1375,0.217729167,0.318979167,0.334166667,0.298270833,22.48333333,23.32083333,23.55833333,23.97083333,23.41458333,0.051875,0.174583333,0.21,0.81375,0.46
6/8/2008,3,0.099041667,0.215,0.281270833,0.267791667,0.312729167,22.46875,22.77291667,23.05625,22.96875,22.83541667,0.122291667,0.277083333,0.817916667,1.14,0.96
6/8/2008,4,NA,0.270458333,0.371708333,0.323875,0.398583333,NA,22.76041667,23.04791667,23.55,23.1375,NA,0.37,0.599375,0.85,1.189166667
7/8/2008,1,0.224375,0.279770833,0.361666667,0.347833333,0.311229167,23.93541667,23.575,23.4,22.69375,22.47916667,0.146458333,0.701458333,0.835833333,1.153125,1.640416667
7/8/2008,2,0.143083333,0.220270833,0.316229167,0.329625,0.293854167,24.92708333,24.69583333,23.675,23.09166667,22.58125,0.052291667,0.175,0.201041667,0.81,0.46
7/8/2008,3,0.098291667,0.2113125,0.2741875,0.262541667,0.308645833,22.82708333,22.60833333,22.44583333,22.09166667,22.21875,0.12,0.264166667,0.798958333,1.135208333,0.954166667
7/8/2008,4,NA,0.2681875,0.366604167,0.3196875,0.3938125,NA,23.21666667,22.80833333,22.74583333,22.42083333,NA,0.366666667,0.59375,0.85,1.185833333
8/8/2008,1,0.220166667,0.27325,0.351916667,0.3428125,0.308375,23.97708333,23.65625,23.54166667,22.68541667,22.27916667,0.157708333,0.691041667,0.815833333,1.151041667,1.639583333
8/8/2008,2,0.139645833,0.215833333,0.310958333,0.328104167,0.293041667,25.04791667,24.98541667,24.16458333,23.28958333,22.46458333,0.047708333,0.174375,0.192083333,0.809375,0.46
8/8/2008,3,0.096895833,0.207520833,0.268125,0.2588125,0.305229167,23.1125,22.72083333,22.38958333,21.77708333,21.8625,0.11875,0.245208333,0.778333333,1.12875,0.946666667
8/8/2008,4,NA,0.2645625,0.3616875,0.3185625,0.391770833,NA,23.67291667,23.13333333,22.68958333,22.23541667,NA,0.35875,0.592708333,0.85,1.188541667
9/8/2008,1,0.227479167,0.277416667,0.35075,0.342458333,0.3078125,26.43541667,25.29791667,24.46666667,22.97916667,22.30833333,0.190416667,0.68125,0.797083333,1.149583333,1.632708333
9/8/2008,2,0.1411875,0.217166667,0.309770833,0.327958333,0.293020833,27.40416667,26.69583333,25.24166667,23.68958333,22.58125,0.049583333,0.171041667,0.189583333,0.802916667,0.46
9/8/2008,3,0.101479167,0.212583333,0.2693125,0.258520833,0.30475,25.05833333,24.22083333,23.38958333,21.99375,21.76041667,0.121875,0.243958333,0.754375,1.121666667,0.94
9/8/2008,4,NA,0.2713125,0.366145833,0.3203125,0.392541667,NA,25.72708333,24.45625,23.05416667,22.35625,NA,0.350208333,0.589583333,0.85,1.19
10/8/2008,1,0.2261875,0.279833333,0.352270833,0.3464375,0.309833333,27.44375,26.40416667,25.575,23.80416667,22.7625,0.200208333,0.672708333,0.784791667,1.15,1.63125
10/8/2008,2,0.138416667,0.215583333,0.308541667,0.329625,0.294541667,28.08958333,27.55625,26.23125,24.45208333,23.0375,0.048125,0.168125,0.182916667,0.8,0.46
10/8/2008,3,0.1038125,0.21775,0.272604167,0.2615,0.30575,26.1875,25.41666667,24.59166667,22.78333333,22.06666667,0.121458333,0.252708333,0.726041667,1.116875,0.94
10/8/2008,4,NA,0.275041667,0.371125,0.324416667,0.395229167,NA,26.6375,25.49583333,23.8125,22.87916667,NA,0.340416667,0.586875,0.85,1.189791667
11/8/2008,1,0.213666667,0.272916667,0.3458125,0.345770833,0.311125,25.74375,25.35833333,25.18541667,23.94375,23.06458333,0.173125,0.65875,0.764375,1.152916667,1.636041667
11/8/2008,2,0.129104167,0.207791667,0.301270833,0.3285625,0.2956875,25.88125,25.95,25.40416667,24.48541667,23.29375,0.047083333,0.164375,0.18,0.794166667,0.455208333
11/8/2008,3,0.098916667,0.214645833,0.269729167,0.2616875,0.307916667,24.875,24.53333333,24.2375,23.01875,22.36666667,0.116666667,0.254166667,0.690416667,1.112708333,0.94
11/8/2008,4,NA,0.2708125,0.368229167,0.3251875,0.39675,NA,25.61875,24.975,24.01875,23.1875,NA,0.327708333,0.583125,0.849166667,1.191458333
12/8/2008,1,0.202708333,0.265041667,0.338083333,0.34325,0.3106875,23.42291667,23.85625,24.27291667,23.58125,22.98541667,0.122708333,0.651666667,0.743958333,1.153333333,1.638541667
12/8/2008,2,0.128729167,0.200520833,0.2945,0.325875,0.294729167,23.0375,23.78958333,24.02083333,23.94166667,23.10625,0.042291667,0.160416667,0.178541667,0.79,0.45
12/8/2008,3,0.092291667,0.209958333,0.265479167,0.26,0.308020833,23.1875,23.27916667,23.43333333,22.79583333,22.3875,0.117083333,0.25625,0.670833333,1.105625,0.94
12/8/2008,4,NA,0.263270833,0.363375,0.324041667,0.3965625,NA,23.76041667,23.83125,23.78958333,23.125,NA,0.316666667,0.57875,0.846875,1.187083333
13/08/2008,1,0.212604167,0.264333333,0.332083333,0.338666667,0.3078125,24.16458333,23.63958333,23.475,22.71458333,22.45625,0.175,0.651875,0.723541667,1.150833333,1.638541667
13/08/2008,2,0.140208333,0.202479167,0.2918125,0.3219375,0.292229167,23.87708333,23.73125,23.07916667,22.81666667,22.4,0.048125,0.16125,0.18,0.788333333,0.45
13/08/2008,3,0.0955625,0.2096875,0.262270833,0.255791667,0.306458333,23.44375,22.96875,22.70833333,22.06666667,22.04375,0.115625,0.255833333,0.658125,1.1,0.94
13/08/2008,4,NA,0.2635625,0.36075,0.3201875,0.3934375,NA,23.61458333,23.05625,22.96458333,22.55833333,NA,0.313125,0.577291667,0.843541667,1.177916667
14/08/2008,1,0.227708333,0.270166667,0.337416667,0.341916667,0.306833333,24.63958333,24.17708333,23.91458333,22.83958333,22.30625,0.181041667,0.658541667,0.720833333,1.151875,1.639375
14/08/2008,2,0.148770833,0.2098125,0.296395833,0.323833333,0.292020833,24.41666667,24.375,23.7375,22.99583333,22.25625,0.054583333,0.163541667,0.186458333,0.790416667,0.450833333
14/08/2008,3,0.100354167,0.213083333,0.2639375,0.256041667,0.305708333,24.18125,23.67916667,23.28541667,22.18541667,21.92291667,0.116041667,0.259375,0.644791667,1.095833333,0.94
14/08/2008,4,NA,0.2696875,0.364979167,0.321916667,0.392833333,NA,24.20416667,23.59791667,23.02083333,22.46875,NA,0.31125,0.582708333,0.842291667,1.177916667
15/08/2008,1,0.298583333,0.2876875,0.371,0.354854167,0.307583333,23.71875,23.62291667,23.59166667,22.75,22.25208333,0.244791667,0.666666667,0.780833333,1.162083333,1.6425
15/08/2008,2,0.169395833,0.245916667,0.3161875,0.326104167,0.292416667,23.21458333,23.5,23.25,22.89791667,22.20416667,0.066041667,0.18,0.219583333,0.79,0.450208333
15/08/2008,3,0.110166667,0.211708333,0.262625,0.257916667,0.305041667,23.2875,23.06458333,22.98541667,22.175,21.91458333,0.097708333,0.254791667,0.634166667,1.094583333,0.94
15/08/2008,4,NA,0.285583333,0.3748125,0.322875,0.394041667,NA,23.48333333,23.2,23.00208333,22.46666667,NA,0.32,0.59,0.85,1.18
16/08/2008,1,0.2754375,0.281229167,0.358125,0.346625,0.306229167,23.79583333,23.36458333,23.19583333,22.38333333,21.98333333,0.20875,0.65625,0.748125,1.159375,1.648958333
16/08/2008,2,0.150645833,0.230041667,0.305145833,0.3224375,0.290875,23.18333333,23.20416667,22.78958333,22.4,21.89791667,0.054583333,0.171041667,0.206041667,0.789375,0.45
16/08/2008,3,0.113375,0.212041667,0.26125,0.254895833,0.304895833,23.10208333,22.70416667,22.55833333,21.84375,21.75625,0.099166667,0.25875,0.626875,1.086458333,0.94
16/08/2008,4,NA,0.2825625,0.370270833,0.320229167,0.3916875,NA,23.41875,22.88333333,22.67291667,22.24166667,NA,0.313541667,0.587083333,0.85,1.18
17/08/2008,1,0.255083333,0.27825,0.352104167,0.343895833,0.305895833,24.31875,23.81458333,23.48541667,22.41666667,21.85416667,0.181458333,0.654583333,0.7225,1.154166667,1.648958333
17/08/2008,2,0.14125,0.2191875,0.300270833,0.321791667,0.2903125,24.10416667,23.95625,23.37708333,22.53541667,21.83125,0.049791667,0.161875,0.195833333,0.78375,0.45125
17/08/2008,3,0.111583333,0.214041667,0.262291667,0.253708333,0.3045,23.61041667,23.15416667,22.8625,21.85416667,21.65208333,0.100416667,0.263125,0.625625,1.080833333,0.94
17/08/2008,4,NA,0.283145833,0.369875,0.319479167,0.3908125,NA,24.03125,23.25833333,22.625,22.14583333,NA,0.308958333,0.584583333,0.8475,1.18
18/08/2008,1,0.239208333,0.2754375,0.346958333,0.342208333,0.30575,24.7375,24.20833333,23.78333333,22.5875,21.9,0.170416667,0.65375,0.699583333,1.15,1.643541667
