year	plot	trt	depth	perC	perN	CN
2008	11	C2	5	41.70	1.83	22.85
2008	11	C2	15	41.70	1.83	22.85
2008	11	C2	30	41.70	1.83	22.85
2008	11	C2	60	37.67	1.41	26.75
2008	11	C2	100	42.53	1.38	30.73
2008	26	C2	5	41.70	1.83	22.85
2008	26	C2	15	41.70	1.83	22.85
2008	26	C2	30	41.70	1.83	22.85
2008	26	C2	60	37.67	1.41	26.75
2008	26	C2	100	42.53	1.38	30.73
2008	33	C2	5	41.70	1.83	22.85
2008	33	C2	15	41.70	1.83	22.85
2008	33	C2	30	41.70	1.83	22.85
2008	33	C2	60	37.67	1.41	26.75
2008	33	C2	100	42.53	1.38	30.73
2008	44	C2	5	41.70	1.83	22.85
2008	44	C2	15	41.70	1.83	22.85
2008	44	C2	30	41.70	1.83	22.85
2008	44	C2	60	37.67	1.41	26.75
2008	44	C2	100	42.53	1.38	30.73
2008	12	CC	5	32.08	1.60	20.11
2008	12	CC	15	32.08	1.60	20.11
2008	12	CC	30	32.08	1.60	20.11
2008	12	CC	60	27.72	1.21	23.00
2008	12	CC	100	29.66	1.17	25.33
2008	21	CC	5	32.08	1.60	20.11
2008	21	CC	15	32.08	1.60	20.11
2008	21	CC	30	32.08	1.60	20.11
2008	21	CC	60	27.72	1.21	23.00
2008	21	CC	100	29.66	1.17	25.33
2008	35	CC	5	32.08	1.60	20.11
2008	35	CC	15	32.08	1.60	20.11
2008	35	CC	30	32.08	1.60	20.11
2008	35	CC	60	27.72	1.21	23.00
2008	35	CC	100	29.66	1.17	25.33
2008	43	CC	5	32.08	1.60	20.11
2008	43	CC	15	32.08	1.60	20.11
2008	43	CC	30	32.08	1.60	20.11
2008	43	CC	60	27.72	1.21	23.00
2008	43	CC	100	29.66	1.17	25.33
2008	14	CCW	5	35.51	1.69	20.96
2008	14	CCW	15	35.51	1.69	20.96
2008	14	CCW	30	35.51	1.69	20.96
2008	14	CCW	60	40.26	1.57	25.73
2008	14	CCW	100	30.63	1.34	22.81
2008	25	CCW	5	35.51	1.69	20.96
2008	25	CCW	15	35.51	1.69	20.96
2008	25	CCW	30	35.51	1.69	20.96
2008	25	CCW	60	40.26	1.57	25.73
2008	25	CCW	100	30.63	1.34	22.81
2008	36	CCW	5	35.51	1.69	20.96
2008	36	CCW	15	35.51	1.69	20.96
2008	36	CCW	30	35.51	1.69	20.96
2008	36	CCW	60	40.26	1.57	25.73
2008	36	CCW	100	30.63	1.34	22.81
2008	42	CCW	5	35.51	1.69	20.96
2008	42	CCW	15	35.51	1.69	20.96
2008	42	CCW	30	35.51	1.69	20.96
2008	42	CCW	60	40.26	1.57	25.73
2008	42	CCW	100	30.63	1.34	22.81
2008	16	S2	5	45.67	1.49	30.61
2008	16	S2	15	45.67	1.49	30.61
2008	16	S2	30	45.67	1.49	30.61
2008	16	S2	60	42.80	1.80	23.73
2008	16	S2	100	38.35	1.61	23.78
2008	22	S2	5	45.67	1.49	30.61
2008	22	S2	15	45.67	1.49	30.61
2008	22	S2	30	45.67	1.49	30.61
2008	22	S2	60	42.80	1.80	23.73
2008	22	S2	100	38.35	1.61	23.78
2008	34	S2	5	45.67	1.49	30.61
2008	34	S2	15	45.67	1.49	30.61
2008	34	S2	30	45.67	1.49	30.61
2008	34	S2	60	42.80	1.80	23.73
2008	34	S2	100	38.35	1.61	23.78
2008	45	S2	5	45.67	1.49	30.61
2008	45	S2	15	45.67	1.49	30.61
2008	45	S2	30	45.67	1.49	30.61
2008	45	S2	60	42.80	1.80	23.73
2008	45	S2	100	38.35	1.61	23.78
2008	13	P	5	39.03	1.14	34.27
2008	13	P	15	39.03	1.14	34.27
2008	13	P	30	39.03	1.14	34.27
2008	13	P	60	36.56	1.11	33.06
2008	13	P	100	37.42	1.03	36.33
2008	24	P	5	39.03	1.14	34.27
2008	24	P	15	39.03	1.14	34.27
2008	24	P	30	39.03	1.14	34.27
2008	24	P	60	36.56	1.11	33.06
2008	24	P	100	37.42	1.03	36.33
2008	31	P	5	39.03	1.14	34.27
2008	31	P	15	39.03	1.14	34.27
2008	31	P	30	39.03	1.14	34.27
2008	31	P	60	36.56	1.11	33.06
2008	31	P	100	37.42	1.03	36.33
2008	46	P	5	39.03	1.14	34.27
2008	46	P	15	39.03	1.14	34.27
2008	46	P	30	39.03	1.14	34.27
2008	46	P	60	36.56	1.11	33.06
2008	46	P	100	37.42	1.03	36.33
2008	15	PF	5	40.10	1.15	34.78
2008	15	PF	15	40.10	1.15	34.78
2008	15	PF	30	40.10	1.15	34.78
2008	15	PF	60	41.32	1.09	38.05
2008	15	PF	100	36.63	1.11	32.97
2008	23	PF	5	40.10	1.15	34.78
2008	23	PF	15	40.10	1.15	34.78
2008	23	PF	30	40.10	1.15	34.78
2008	23	PF	60	41.32	1.09	38.05
2008	23	PF	100	36.63	1.11	32.97
2008	32	PF	5	40.10	1.15	34.78
2008	32	PF	15	40.10	1.15	34.78
2008	32	PF	30	40.10	1.15	34.78
2008	32	PF	60	41.32	1.09	38.05
2008	32	PF	100	36.63	1.11	32.97
2008	41	PF	5	40.10	1.15	34.78
2008	41	PF	15	40.10	1.15	34.78
2008	41	PF	30	40.10	1.15	34.78
2008	41	PF	60	41.32	1.09	38.05
2008	41	PF	100	36.63	1.11	32.97
2009	11	C2	5	42.33	1.78	23.83
2009	11	C2	15	45.07	1.70	26.53
2009	11	C2	30	41.53	1.68	24.69
2009	11	C2	60	23.57	1.06	22.17
2009	11	C2	100	35.44	1.28	27.62
2009	26	C2	5	42.43	1.54	27.59
2009	26	C2	15	42.88	1.67	25.74
2009	26	C2	30	40.20	1.74	23.05
2009	26	C2	60	34.53	1.48	23.32
2009	26	C2	100	33.08	1.34	24.65
2009	33	C2	5	40.27	1.83	21.97
2009	33	C2	15	39.78	1.73	22.95
2009	33	C2	30	40.45	1.64	24.72
2009	33	C2	60	37.55	1.69	22.28
2009	33	C2	100	35.62	1.32	26.94
2009	44	C2	5	42.54	1.83	23.27
2009	44	C2	15	38.99	1.57	24.80
2009	44	C2	30	35.83	1.46	24.52
2009	44	C2	60	32.98	1.10	29.98
2009	44	C2	100	34.22	0.88	38.91
2009	12	CC	5	40.76	1.12	36.46
2009	12	CC	15	37.92	1.77	21.44
2009	12	CC	30	40.90	1.64	24.95
2009	12	CC	60	37.24	1.52	24.50
2009	12	CC	100	36.24	1.11	32.65
2009	21	CC	5	43.43	1.97	22.10
2009	21	CC	15	40.02	1.77	22.58
2009	21	CC	30	40.76	1.58	25.75
2009	21	CC	60	34.24	1.43	23.96
2009	21	CC	100	36.64	1.44	25.41
2009	35	CC	5	29.36	1.49	19.65
2009	35	CC	15	34.12	1.74	19.60
2009	35	CC	30	37.80	1.83	20.71
2009	35	CC	60	36.10	1.65	21.92
2009	35	CC	100	35.86	1.45	24.70
2009	43	CC	5	36.81	1.98	18.58
2009	43	CC	15	35.30	1.77	19.99
2009	43	CC	30	37.39	1.57	23.88
2009	43	CC	60	32.83	1.21	27.11
2009	43	CC	100	30.02	0.98	30.64
2009	14	CCW	5	38.97	1.82	21.41
2009	14	CCW	15	38.10	1.83	20.82
2009	14	CCW	30	39.94	1.96	20.35
2009	14	CCW	60	35.70	1.68	21.20
2009	14	CCW	100	39.09	1.37	28.49
2009	25	CCW	5	42.63	2.02	21.10
2009	25	CCW	15	35.79	1.72	20.78
2009	25	CCW	30	37.54	1.70	22.10
2009	25	CCW	60	32.27	1.32	24.47
2009	25	CCW	100	31.04	1.15	27.09
2009	36	CCW	5	25.64	1.43	17.98
2009	36	CCW	15	29.75	1.41	21.08
2009	36	CCW	30	26.02	1.07	24.41
2009	36	CCW	60	31.04	1.32	23.44
2009	36	CCW	100	36.79	1.38	26.66
2009	42	CCW	5	42.41	2.13	19.96
2009	42	CCW	15	38.97	1.73	22.55
2009	42	CCW	30	39.99	1.66	24.09
2009	42	CCW	60	36.42	1.69	21.54
2009	42	CCW	100	35.77	1.35	26.44
2009	16	S2	5	43.27	1.87	23.10
2009	16	S2	15	42.52	1.66	25.65
2009	16	S2	30	41.44	2.20	18.83
2009	16	S2	60	34.06	1.82	18.68
2009	16	S2	100	33.40	1.73	19.32
2009	22	S2	5	44.37	2.04	21.72
2009	22	S2	15	41.00	1.87	21.97
2009	22	S2	30	41.93	2.09	20.07
2009	22	S2	60	29.68	1.50	19.77
2009	22	S2	100	39.73	2.03	19.54
2009	34	S2	5	45.95	1.48	31.07
2009	34	S2	15	43.75	1.62	27.06
2009	34	S2	30	39.15	2.07	18.93
2009	34	S2	60	37.93	2.04	18.63
2009	34	S2	100	38.98	1.91	20.46
2009	45	S2	5	40.77	2.13	19.14
2009	45	S2	15	41.05	2.14	19.16
2009	45	S2	30	36.10	2.14	16.85
2009	45	S2	60	29.69	1.48	20.07
2009	45	S2	100	38.06	1.93	19.77
2009	13	P	5	38.77	0.99	39.11
2009	13	P	15	41.35	0.95	43.73
2009	13	P	30	42.21	0.71	59.53
2009	13	P	60	40.54	0.74	54.56
2009	13	P	100	38.73	0.66	59.12
2009	24	P	5	39.14	1.03	38.19
2009	24	P	15	39.92	0.98	40.56
2009	24	P	30	40.54	0.81	49.98
2009	24	P	60	41.33	0.69	60.34
2009	24	P	100	38.36	0.63	61.15
2009	31	P	5	41.47	1.18	35.14
2009	31	P	15	42.09	1.06	39.63
2009	31	P	30	42.40	0.90	47.12
2009	31	P	60	41.39	0.67	61.91
2009	31	P	100	40.70	0.64	63.82
2009	46	P	5	39.74	1.09	36.39
2009	46	P	15	35.16	1.02	34.34
2009	46	P	30	39.38	0.86	46.02
2009	46	P	60	37.73	0.67	56.20
2009	46	P	100	38.34	0.66	58.42
2009	15	PF	5	40.38	1.43	28.16
2009	15	PF	15	40.16	1.23	32.57
2009	15	PF	30	41.07	1.19	34.48
2009	15	PF	60	38.59	0.98	39.38
2009	15	PF	100	38.76	1.03	37.74
2009	23	PF	5	36.62	1.42	25.77
2009	23	PF	15	39.85	1.35	29.54
2009	23	PF	30	40.30	1.14	35.35
2009	23	PF	60	40.38	0.92	44.06
2009	23	PF	100	38.86	0.92	42.19
2009	32	PF	5	40.41	1.42	28.50
2009	32	PF	15	39.58	1.43	27.78
2009	32	PF	30	39.98	1.27	31.41
2009	32	PF	60	40.93	0.89	46.21
2009	32	PF	100	39.72	0.80	49.36
2009	41	PF	5	35.17	1.30	27.10
2009	41	PF	15	33.85	1.10	30.91
2009	41	PF	30	37.95	1.13	33.67
2009	41	PF	60	39.40	1.03	38.29
2009	41	PF	100	38.89	0.99	39.24
2010	11	S2	5	36.27	1.89	19.19
2010	11	S2	15	40.15	1.92	20.96
2010	11	S2	30	39.62	1.74	22.77
2010	11	S2	60	38.19	1.35	28.33
2010	11	S2	100	37.71	1.39	27.23
2010	26	S2	5	38.55	1.93	19.94
2010	26	S2	15	37.38	1.90	19.70
2010	26	S2	30	40.35	2.22	18.16
2010	26	S2	60	37.69	1.90	19.84
2010	26	S2	100	32.38	1.44	22.44
2010	33	S2	5	35.62	2.00	17.83
2010	33	S2	15	37.54	1.80	20.89
2010	33	S2	30	36.17	1.83	19.77
2010	33	S2	60	35.17	1.61	21.86
2010	33	S2	100	35.87	1.59	22.52
2010	44	S2	5	39.60	1.98	20.03
2010	44	S2	15	36.24	1.83	19.76
2010	44	S2	30	38.28	1.99	19.27
2010	44	S2	60	37.80	1.81	20.92
2010	44	S2	100	34.94	1.45	24.10
2010	12	CC	5	40.50	1.71	23.74
2010	12	CC	15	39.52	1.47	26.85
2010	12	CC	30	38.68	1.27	30.38
2010	12	CC	60	35.21	1.04	33.86
2010	12	CC	100	32.81	0.88	37.40
2010	21	CC	5	37.68	1.63	23.17
2010	21	CC	15	38.28	1.80	21.30
2010	21	CC	30	34.55	1.22	28.30
2010	21	CC	60	34.03	1.37	24.84
2010	21	CC	100	32.52	1.19	27.42
2010	35	CC	5	34.63	1.60	21.63
2010	35	CC	15	37.74	1.55	24.32
2010	35	CC	30	33.74	1.37	24.72
2010	35	CC	60	33.09	1.18	28.02
2010	35	CC	100	28.22	0.86	32.95
2010	43	CC	5	35.61	1.74	20.45
2010	43	CC	15	37.09	1.50	24.74
2010	43	CC	30	30.67	1.14	26.83
2010	43	CC	60	27.64	1.08	25.50
2010	43	CC	100	26.38	0.98	26.92
2010	14	CCW	5	36.90	1.62	22.74
2010	14	CCW	15	38.21	1.52	25.20
2010	14	CCW	30	36.65	1.63	22.50
2010	14	CCW	60	37.17	1.17	31.85
2010	14	CCW	100	39.22	1.06	37.14
2010	25	CCW	5	33.12	1.61	20.58
