"block" "plot" "trt" "point" "poxc" "poxconc"
"1" "11" "SC" "2.5" 0.45328436575 917.895
"1" "11" "SC" "10" 1.24025540375 931.95
"1" "11" "SC" "22.5" 1.47966182125 690.2775
"1" "11" "SC" "45" 1.5720552875 378.4275
"1" "11" "SC" "80" 1.205355204 211.4425
"1" "12" "CC" "2.5" 0.49479399425 901.5625
"1" "12" "CC" "10" 0.898501637 673.4475
"1" "12" "CC" "22.5" 0.8069874865 363.9175
"1" "12" "CC" "45" 0.55263468775 129.3675
"1" "13" "P" "2.5" 0.45532817575 763.15
"1" "13" "P" "10" 1.11549219 781.5175
"1" "13" "P" "22.5" 1.0905726275 522.235
"1" "13" "P" "45" 0.933183668 217.21
"1" "13" "P" "80" 0.34133429475 52.495
"1" "14" "CCW" "2.5" 0.43487013025 851.985
"1" "14" "CCW" "10" 1.0174239795 706.05
"1" "14" "CCW" "22.5" 1.1250076945 506.6625
"1" "14" "CCW" "45" 0.88551683025 197.5275
"1" "14" "CCW" "80" 0.43005564175 67.7225
"1" "15" "PF" "2.5" 0.522611052 947.135
"1" "15" "PF" "10" 1.10604647825 842.285
"1" "15" "PF" "22.5" 1.20741767325 557.5925
"1" "15" "PF" "45" 1.0055648945 248.595
"1" "15" "PF" "80" 0.7281442625 118.045
"1" "16" "CS" "2.5" 0.43199816825 913.19
"1" "16" "CS" "10" 1.05322065125 837.6625
"1" "16" "CS" "22.5" 1.2460440975 617.315
"1" "16" "CS" "45" 1.09637083675 257.535
"1" "16" "CS" "80" 1.0294595595 168.63
"2" "21" "CC" "2.5" 0.60109469725 1016.3275
"2" "21" "CC" "10" 0.96260584325 645.965
"2" "21" "CC" "22.5" 1.52190050475 705.7575
"2" "21" "CC" "45" 1.49962087925 344.425
"2" "21" "CC" "80" 1.0951387465 179.0675
"2" "22" "CS" "2.5" 0.48321873525 721.0725
"2" "22" "CS" "10" 0.8407816335 570.8675
"2" "22" "CS" "22.5" 1.038678021 469.7225
"2" "22" "CS" "45" 1.16969731825 268.97
"2" "22" "CS" "80" 0.81366443875 131.515
"2" "23" "PF" "2.5" 0.4774093505 780.155
"2" "23" "PF" "10" 1.1625345345 818.95
"2" "23" "PF" "22.5" 1.138701435 516.955
"2" "23" "PF" "45" 1.33795055 311.5975
"2" "23" "PF" "80" 0.7815029475 125.58
"2" "24" "P" "2.5" 0.51251696075 881.1925
"2" "24" "P" "10" 1.062722502 735.6425
"2" "24" "P" "22.5" 1.1461481915 514.9125
"2" "24" "P" "45" 0.87870554825 193.6325
"2" "24" "P" "80" 0.8024333475 130.83
"2" "25" "CCW" "2.5" 0.46088529025 884.8825
"2" "25" "CCW" "10" 0.983407686 696.34
"2" "25" "CCW" "22.5" 1.344234885 568.6175
"2" "25" "CCW" "45" 0.981969446 214.035
"2" "25" "CCW" "80" 0.8276885605 140.7025
"2" "26" "SC" "2.5" 0.4991831095 898.58
"2" "26" "SC" "10" 1.082835971 755.1775
"2" "26" "SC" "22.5" 1.1667874555 521.785
"2" "26" "SC" "45" 1.061732305 246.5925
"2" "26" "SC" "80" 0.77036710325 124.87
"3" "31" "P" "2.5" 0.611691389333333 919.196666666667
"3" "31" "P" "10" 1.1534246715 843.805
"3" "31" "P" "22.5" 1.028343568 542.9425
"3" "31" "P" "45" 1.0620684775 262.68
"3" "31" "P" "80" 0.99083498475 167.225
"3" "32" "PF" "2.5" 0.56797770575 929.785
"3" "32" "PF" "10" 1.0431369095 796.465
"3" "32" "PF" "22.5" 1.12587168375 493.455
"3" "32" "PF" "45" 0.9789799365 221.9425
"3" "32" "PF" "80" 0.9014790375 142.99
"3" "33" "SC" "2.5" 0.5671149385 824.2775
"3" "33" "SC" "10" 0.93887105275 734.9775
"3" "33" "SC" "22.5" 1.243648512 570.2175
"3" "33" "SC" "45" 1.4416072515 335.9175
"3" "33" "SC" "80" 1.11338313675 185.4325
"3" "34" "CS" "2.5" 0.6105108515 875.595
"3" "34" "CS" "10" 0.94014230825 760.8025
"3" "34" "CS" "22.5" 1.43975116 633.135
"3" "34" "CS" "45" 1.56797136675 365.4075
"3" "34" "CS" "80" 1.055218381 171.55
"3" "35" "CC" "2.5" 0.544835786 824.4175
"3" "35" "CC" "10" 1.00796132325 714.8625
"3" "35" "CC" "22.5" 1.50391076175 656.445
"3" "35" "CC" "45" 1.87983635975 449.79
"3" "35" "CC" "80" 1.28020282575 210.6525
"3" "36" "CCW" "2.5" 0.41935957125 643.5225
"3" "36" "CCW" "10" 0.7381326025 502.235
"3" "36" "CCW" "22.5" 0.9603527975 412.9225
"3" "36" "CCW" "45" 1.20473654425 262.5175
"3" "36" "CCW" "80" 0.92989779425 151.2725
"4" "41" "PF" "2.5" 0.49371962725 841.19
"4" "41" "PF" "10" 0.9856904725 727.535
"4" "41" "PF" "22.5" 1.167774292 503.2725
"4" "41" "PF" "45" 0.982328556 223.5275
"4" "41" "PF" "80" 0.638199073 102.5725
"4" "42" "CCW" "2.5" 0.475495559 752.3875
"4" "42" "CCW" "10" 0.85916389675 617.43
"4" "42" "CCW" "22.5" 1.0189935835 458.445
"4" "42" "CCW" "45" 0.85345549575 189.3475
"4" "42" "CCW" "80" 0.47094460225 74.23
"4" "43" "CC" "2.5" 0.4285952005 612.845
"4" "43" "CC" "10" 0.8174029055 569.235
"4" "43" "CC" "22.5" 0.232348568 106.955
"4" "43" "CC" "45" 0.712672287 155.37
"4" "43" "CC" "80" 0.4171881185 64.405
"4" "44" "SC" "2.5" 0.461891503 719.66
"4" "44" "SC" "10" 0.84623342875 593.145
"4" "44" "SC" "22.5" 1.18941925575 529.4975
"4" "44" "SC" "45" 1.092592039 238.9575
"4" "44" "SC" "80" 0.79153011025 125.4325
"4" "45" "CS" "2.5" 0.33935385375 500.335
"4" "45" "CS" "10" 0.6126718385 413.61
"4" "45" "CS" "22.5" 0.78741175875 336.05
"4" "45" "CS" "45" 0.605625794 134.44
"4" "45" "CS" "80" 0.2444402075 40.0975
"4" "46" "P" "2.5" 0.32792955075 487.2725
"4" "46" "P" "10" 0.49063903175 334.99
"4" "46" "P" "22.5" 0.6194203295 261.2625
"4" "46" "P" "45" 0.50101102 116.6425
"4" "46" "P" "80" 0.10203913925 15.7875
