"trt","depth","soilCprop","rootmassprop","rootCprop","poxCprop","perC","perN","CN"
"P","5",0.113903696169636,0.335306258541998,0.339904900402086,0.1378136224767,42.74,0.45,97.4975
"PF","5",0.0873035113423376,0.224599286080528,0.236538330280283,0.108928385289037,44.21,0.89,50.1766666666667
"P","15",0.2373868171543,0.27742146397174,0.279845262133933,0.268410940008343,42.3425,0.3675,119
"PF","15",0.186222137132019,0.260039341677226,0.261039570246354,0.23616353135755,41.9033333333333,0.903333333333333,46.4533333333333
"P","30",0.285231334022045,0.157842262777731,0.149012160938967,0.27887078575789,39.71,0.305,133.6275
"PF","30",0.266326021541613,0.251154972902165,0.247568689105637,0.285950327926514,41.08,0.6825,60.6
"P","60",0.257761754573893,0.163735104236493,0.165821922952666,0.227562127169497,41.9966666666667,0.193333333333333,219.97
"PF","60",0.259051091893839,0.210236921573107,0.210680545002379,0.262875630740194,41.9925,0.5775,72.955
"P","100",0.170156836723599,0.10662868653116,0.106871234310515,0.144233056379944,42.26,0.2825,151.77
"PF","100",0.26947865020878,0.175129134706412,0.168567340497007,0.192355103848352,40.545,0.5325,76.25
