"year" "block" "plot" "trt" "depth" "point" "mass"
"2008" "1" "11" "S2" "5" "2.5" 0.010987587
"2008" "1" "11" "S2" "15" "10" 0.0196464915
"2008" "1" "11" "S2" "30" "22.5" 0.0173157015
"2008" "1" "11" "S2" "60" "45" 0.0089730805
"2008" "1" "11" "S2" "100" "80" 0.0703317015
"2008" "1" "12" "CC" "5" "2.5" 0.023205825
"2008" "1" "12" "CC" "15" "10" 0.0387604135
"2008" "1" "12" "CC" "30" "22.5" 0.032690626
"2008" "1" "12" "CC" "60" "45" 0.0797607175
"2008" "1" "12" "CC" "100" "80" 0.2210036555
"2008" "1" "13" "P" "5" "2.5" 0.566973626
"2008" "1" "13" "P" "15" "10" 0.287419173
"2008" "1" "13" "P" "30" "22.5" 0.1324502125
"2008" "1" "13" "P" "60" "45" 0.242605517
"2008" "1" "13" "P" "100" "80" 0.216018611
"2008" "1" "14" "CCW" "5" "2.5" 0.023050298
"2008" "1" "14" "CCW" "15" "10" 0.0453492525
"2008" "1" "14" "CCW" "30" "22.5" 0.03423615
"2008" "1" "14" "CCW" "60" "45" 0.06148222
"2008" "1" "14" "CCW" "100" "80" 0.0714523095
"2008" "1" "15" "PF" "5" "2.5" 0.49747599
"2008" "1" "15" "PF" "15" "10" 0.293811978
"2008" "1" "15" "PF" "30" "22.5" 0.156543419
"2008" "1" "15" "PF" "60" "45" 0.186108342
"2008" "1" "15" "PF" "100" "80" 0.4901960785
"2008" "1" "16" "C2" "5" "2.5" 0.003878728
"2008" "1" "16" "C2" "15" "10" 0.005470353
"2008" "1" "16" "C2" "30" "22.5" 0.0039003965
"2008" "1" "16" "C2" "60" "45" 0.034895314
"2008" "1" "16" "C2" "100" "80" 0.023263543
"2008" "2" "21" "CC" "5" "2.5" 0.005050563
"2008" "2" "21" "CC" "15" "10" 0.008435895
"2008" "2" "21" "CC" "30" "22.5" 0.0071148545
"2008" "2" "21" "CC" "60" "45" 0.066806944
"2008" "2" "21" "CC" "100" "80" 0.0115728565
"2008" "2" "22" "C2" "5" "2.5" 0.004604587
"2008" "2" "22" "C2" "15" "10" 0.0064940655
"2008" "2" "22" "C2" "30" "22.5" 0.00463031
"2008" "2" "22" "C2" "60" "45" 0.128879537
"2008" "2" "22" "C2" "100" "80" 0.0736454495
"2008" "2" "23" "PF" "5" "2.5" 0.36170998
"2008" "2" "23" "PF" "15" "10" 0.213627847
"2008" "2" "23" "PF" "30" "22.5" 0.113821206
"2008" "2" "23" "PF" "60" "45" 0.099947396
"2008" "2" "23" "PF" "100" "80" 0.173592846
"2008" "2" "24" "P" "5" "2.5" 0.423686927
"2008" "2" "24" "P" "15" "10" 0.2147820295
"2008" "2" "24" "P" "30" "22.5" 0.098977132
"2008" "2" "24" "P" "60" "45" 0.2051551815
"2008" "2" "24" "P" "100" "80" 0.2261967385
"2008" "2" "25" "CCW" "5" "2.5" 0.010750101
"2008" "2" "25" "CCW" "15" "10" 0.0211497925
"2008" "2" "25" "CCW" "30" "22.5" 0.015966911
"2008" "2" "25" "CCW" "60" "45" 0.022093635
"2008" "2" "25" "CCW" "100" "80" 0.0273540245
"2008" "2" "26" "S2" "5" "2.5" 0.0481836025
"2008" "2" "26" "S2" "15" "10" 0.0861552885
"2008" "2" "26" "S2" "30" "22.5" 0.0759341315
"2008" "2" "26" "S2" "60" "45" 0.031562336
"2008" "2" "26" "S2" "100" "80" 0.0841662285
"2008" "3" "31" "P" "5" "2.5" 0.413301576
"2008" "3" "31" "P" "15" "10" 0.2095173245
"2008" "3" "31" "P" "30" "22.5" 0.096551019
"2008" "3" "31" "P" "60" "45" 0.1368274585
"2008" "3" "31" "P" "100" "80" 0.178107607
"2008" "3" "32" "PF" "5" "2.5" 0.2682227735
"2008" "3" "32" "PF" "15" "10" 0.1584138035
"2008" "3" "32" "PF" "30" "22.5" 0.0844030885
"2008" "3" "32" "PF" "60" "45" 0.126391466
"2008" "3" "32" "PF" "100" "80" 0.0844155845
"2008" "3" "33" "S2" "5" "2.5" 0.004223332
"2008" "3" "33" "S2" "15" "10" 0.007551581
"2008" "3" "33" "S2" "30" "22.5" 0.006655688
"2008" "3" "33" "S2" "60" "45" 0.0250463825
"2008" "3" "33" "S2" "100" "80" 0.008348794
"2008" "3" "34" "C2" "5" "2.5" 0.003687816
"2008" "3" "34" "C2" "15" "10" 0.005201101
"2008" "3" "34" "C2" "30" "22.5" 0.003708418
"2008" "3" "34" "C2" "60" "45" 0.05148423
"2008" "3" "34" "C2" "100" "80" 0.0280612245
"2008" "3" "35" "CC" "5" "2.5" 0.0070557345
"2008" "3" "35" "CC" "15" "10" 0.01178511
"2008" "3" "35" "CC" "30" "22.5" 0.00993959
"2008" "3" "35" "CC" "60" "45" 0.0076530615
"2008" "3" "35" "CC" "100" "80" 0.0153061225
"2008" "3" "36" "CCW" "5" "2.5" 0.0083584345
"2008" "3" "36" "CCW" "15" "10" 0.0164444185
"2008" "3" "36" "CCW" "30" "22.5" 0.012414617
"2008" "3" "36" "CCW" "60" "45" 0.0160018555
"2008" "3" "36" "CCW" "100" "80" 0.009508349
"2008" "4" "41" "PF" "5" "2.5" 0.187863446
"2008" "4" "41" "PF" "15" "10" 0.110953155
"2008" "4" "41" "PF" "30" "22.5" 0.059115991
"2008" "4" "41" "PF" "60" "45" 0.2822356215
"2008" "4" "41" "PF" "100" "80" 0.290352505
"2008" "4" "42" "CCW" "5" "2.5" 0.014275402
"2008" "4" "42" "CCW" "15" "10" 0.028085485
"2008" "4" "42" "CCW" "30" "22.5" 0.021202971
"2008" "4" "42" "CCW" "60" "45" 0.0466141005
"2008" "4" "42" "CCW" "100" "80" 0.0192486085
"2008" "4" "43" "CC" "5" "2.5" 0.0972187715
"2008" "4" "43" "CC" "15" "10" 0.1623833605
"2008" "4" "43" "CC" "30" "22.5" 0.136954516
"2008" "4" "43" "CC" "60" "45" 0.1280148425
"2008" "4" "43" "CC" "100" "80" 0.2008348795
"2008" "4" "44" "S2" "5" "2.5" 0.0174715215
"2008" "4" "44" "S2" "15" "10" 0.031240171
"2008" "4" "44" "S2" "30" "22.5" 0.027533948
"2008" "4" "44" "S2" "60" "45" 0.0113636365
"2008" "4" "44" "S2" "100" "80" 0.021799629
"2008" "4" "45" "C2" "5" "2.5" 0.0130934395
"2008" "4" "45" "C2" "15" "10" 0.0184662945
"2008" "4" "45" "C2" "30" "22.5" 0.0131665855
"2008" "4" "45" "C2" "60" "45" 0.060528757
"2008" "4" "45" "C2" "100" "80" 0.0106679035
"2008" "4" "46" "P" "5" "2.5" 1.460066678
"2008" "4" "46" "P" "15" "10" 0.740159926
"2008" "4" "46" "P" "30" "22.5" 0.9235572915
"2008" "4" "46" "P" "60" "45" 0.3525046385
"2008" "4" "46" "P" "100" "80" 0.1648886825
"2009" "1" "11" "C2" "5" "2.5" 0.0382749325
"2009" "1" "11" "C2" "15" "10" 0.094070081
"2009" "1" "11" "C2" "30" "22.5" 0.11114106025
"2009" "1" "11" "C2" "60" "45" 0.16103158925
"2009" "1" "11" "C2" "100" "80" 0.13042941775
"2009" "1" "12" "CC" "5" "2.5" 0.062848158
"2009" "1" "12" "CC" "15" "10" 0.1552560645
"2009" "1" "12" "CC" "30" "22.5" 0.15040431275
"2009" "1" "12" "CC" "60" "45" 0.208909181
"2009" "1" "12" "CC" "100" "80" 0.18534057275
"2009" "1" "13" "P" "5" "2.5" 2.71284815825
"2009" "1" "13" "P" "15" "10" 1.14797843675
"2009" "1" "13" "P" "30" "22.5" 0.53036837375
"2009" "1" "13" "P" "60" "45" 0.6913869695
"2009" "1" "13" "P" "100" "80" 0.49358341575
"2009" "1" "14" "CCW" "5" "2.5" 0.05592991925
"2009" "1" "14" "CCW" "15" "10" 0.08957771775
"2009" "1" "14" "CCW" "30" "22.5" 0.10166217425
"2009" "1" "14" "CCW" "60" "45" 0.29738400775
"2009" "1" "14" "CCW" "100" "80" 0.234081935
"2009" "1" "15" "PF" "5" "2.5" 1.790521114
"2009" "1" "15" "PF" "15" "10" 0.718328841
