year	trt	plot	depth	oc
2008	C2	11	5	2.65
2008	C2	11	15	2.4
2008	C2	11	30	2.39
2008	C2	11	60	1.81
2008	C2	11	100	1.06
2008	CC	12	5	2.77
2008	CC	12	15	2.91
2008	CC	12	30	2.55
2008	CC	12	60	1.25
2008	CC	12	100	0.5
2008	P	13	5	2.23
2008	P	13	15	2.52
2008	P	13	30	1.97
2008	P	13	60	1.11
2008	P	13	100	0.37
2008	CCW	14	5	2.47
2008	CCW	14	15	1.76
2008	CCW	14	30	1.64
2008	CCW	14	60	1.36
2008	CCW	14	100	0.88
2008	PF	15	5	3.38
2008	PF	15	15	2.92
2008	PF	15	30	2.19
2008	PF	15	60	1.07
2008	PF	15	100	0.87
2008	S2	16	5	3.4
2008	S2	16	15	2.85
2008	S2	16	30	2.1
2008	S2	16	60	1.1
2008	S2	16	100	1.01
2008	CC	21	5	2.12
2008	CC	21	15	2.26
2008	CC	21	30	1.78
2008	CC	21	60	1.33
2008	CC	21	100	0.38
2008	S2	22	5	1.99
2008	S2	22	15	1.93
2008	S2	22	30	1.76
2008	S2	22	60	1.3
2008	S2	22	100	0.75
2008	PF	23	5	2.22
2008	PF	23	15	1.36
2008	PF	23	60	1.41
2008	PF	23	100	0.65
2008	P	24	5	2.34
2008	P	24	15	2.17
2008	P	24	30	1.91
2008	P	24	60	0.92
2008	P	24	100	0.35
2008	CCW	25	5	2.54
2008	CCW	25	15	2.4
2008	CCW	25	30	2.01
2008	CCW	25	60	0.89
2008	CCW	25	100	0.44
2008	C2	26	5	2.77
2008	C2	26	15	2.49
2008	C2	26	30	1.94
2008	C2	26	60	1
2008	C2	26	100	0.43
2008	P	31	5	2.93
2008	P	31	15	2.97
2008	P	31	30	1.86
2008	P	31	60	1.06
2008	P	31	100	0.45
2008	PF	32	5	2.56
2008	PF	32	15	2.33
2008	PF	32	30	1.94
2008	PF	32	60	0.86
2008	PF	32	100	0.46
2008	C2	33	5	2.04
2008	C2	33	15	2.12
2008	C2	33	30	1.68
2008	C2	33	60	0.79
2008	S2	34	5	2.55
2008	S2	34	15	2.12
2008	S2	34	30	2.44
2008	S2	34	60	1.14
2008	S2	34	100	0.46
2008	CC	35	5	2.47
2008	CC	35	15	2.31
2008	CC	35	30	2.05
2008	CC	35	60	1.76
2008	CC	35	100	0.95
2008	CCW	36	5	1.38
2008	CCW	36	15	1.18
2008	CCW	36	30	1.45
2008	CCW	36	60	1.04
2008	CCW	36	100	0.34
2008	PF	41	5	2.57
2008	PF	41	15	2.4
2008	PF	41	30	2.06
2008	PF	41	60	0.62
2008	PF	41	100	0.36
2008	CCW	42	5	2.22
2008	CCW	42	15	1.82
2008	CCW	42	30	1.54
2008	CCW	42	60	0.81
2008	CCW	42	100	0.62
